alias,language,tag_id,tag_label,category
public sector,en,government-public,Government & Public Service,industry
administration,en,government-public,Government & Public Service,industry
united nations,en,government-public,Government & Public Service,industry
gouvernement,fr,government-public,Government & Public Service,industry
service public,fr,government-public,Government & Public Service,industry
politique publique,fr,government-public,Government & Public Service,industry
civique,fr,government-public,Government & Public Service,industry
gouvernance,fr,government-public,Government & Public Service,industry
diplomatie,fr,government-public,Government & Public Service,industry
secteur public,fr,government-public,Government & Public Service,industry
administration,fr,government-public,Government & Public Service,industry
nations unies,fr,government-public,Government & Public Service,industry
gobierno,es,government-public,Government & Public Service,industry
servicio publico,es,government-public,Government & Public Service,industry
politica publica,es,government-public,Government & Public Service,industry
civico,es,government-public,Government & Public Service,industry
gobernanza,es,government-public,Government & Public Service,industry
diplomacia,es,government-public,Government & Public Service,industry
sector publico,es,government-public,Government & Public Service,industry
administracion,es,government-public,Government & Public Service,industry
naciones unidas,es,government-public,Government & Public Service,industry
governo,pt,government-public,Government & Public Service,industry
servico publico,pt,government-public,Government & Public Service,industry
politica publica,pt,government-public,Government & Public Service,industry
civico,pt,government-public,Government & Public Service,industry
governanca,pt,government-public,Government & Public Service,industry
diplomacia,pt,government-public,Government & Public Service,industry
setor publico,pt,government-public,Government & Public Service,industry
administracao,pt,government-public,Government & Public Service,industry
nacoes unidas,pt,government-public,Government & Public Service,industry
agriculture,en,agriculture-environment,Agriculture & Environment,industry
farming,en,agriculture-environment,Agriculture & Environment,industry
agribusiness,en,agriculture-environment,Agriculture & Environment,industry
environment,en,agriculture-environment,Agriculture & Environment,industry
climate,en,agriculture-environment,Agriculture & Environment,industry
sustainability,en,agriculture-environment,Agriculture & Environment,industry
renewable energy,en,agriculture-environment,Agriculture & Environment,industry
conservation,en,agriculture-environment,Agriculture & Environment,industry
green economy,en,agriculture-environment,Agriculture & Environment,industry
agriculture,fr,agriculture-environment,Agriculture & Environment,industry
agroalimentaire,fr,agriculture-environment,Agriculture & Environment,industry
environnement,fr,agriculture-environment,Agriculture & Environment,industry
climat,fr,agriculture-environment,Agriculture & Environment,industry
durabilite,fr,agriculture-environment,Agriculture & Environment,industry
energie renouvelable,fr,agriculture-environment,Agriculture & Environment,industry
conservation,fr,agriculture-environment,Agriculture & Environment,industry
economie verte,fr,agriculture-environment,Agriculture & Environment,industry
agricultura,es,agriculture-environment,Agriculture & Environment,industry
agronegocio,es,agriculture-environment,Agriculture & Environment,industry
medio ambiente,es,agriculture-environment,Agriculture & Environment,industry
clima,es,agriculture-environment,Agriculture & Environment,industry
sostenibilidad,es,agriculture-environment,Agriculture & Environment,industry
energia renovable,es,agriculture-environment,Agriculture & Environment,industry
conservacion,es,agriculture-environment,Agriculture & Environment,industry
economia verde,es,agriculture-environment,Agriculture & Environment,industry
agricultura,pt,agriculture-environment,Agriculture & Environment,industry
agronegocio,pt,agriculture-environment,Agriculture & Environment,industry
meio ambiente,pt,agriculture-environment,Agriculture & Environment,industry
clima,pt,agriculture-environment,Agriculture & Environment,industry
sustentabilidade,pt,agriculture-environment,Agriculture & Environment,industry
energia renovavel,pt,agriculture-environment,Agriculture & Environment,industry
conservacao,pt,agriculture-environment,Agriculture & Environment,industry
economia verde,pt,agriculture-environment,Agriculture & Environment,industry
internship,en,internship,Internship,format
intern,en,internship,Internship,format
trainee,en,internship,Internship,format
placement,en,internship,Internship,format
apprenticeship,en,internship,Internship,format
graduate scheme,en,internship,Internship,format
stage,fr,internship,Internship,format
stagiaire,fr,internship,Internship,format
alternance,fr,internship,Internship,format
apprentissage,fr,internship,Internship,format
contrat de professionnalisation,fr,internship,Internship,format
pasantia,es,internship,Internship,format
practicas,es,internship,Internship,format
becario,es,internship,Internship,format
aprendizaje,es,internship,Internship,format
practicas profesionales,es,internship,Internship,format
estagio,pt,internship,Internship,format
estagiario,pt,internship,Internship,format
aprendizagem,pt,internship,Internship,format
programa de trainee,pt,internship,Internship,format
fellowship,en,fellowship,Fellowship,format
fellow,en,fellowship,Fellowship,format
residency,en,fellowship,Fellowship,format
leadership program,en,fellowship,Fellowship,format
bourse de recherche,fr,fellowship,Fellowship,format
boursier,fr,fellowship,Fellowship,format
residence,fr,fellowship,Fellowship,format
programme de leadership,fr,fellowship,Fellowship,format
beca de investigacion,es,fellowship,Fellowship,format
residencia,es,fellowship,Fellowship,format
programa de liderazgo,es,fellowship,Fellowship,format
bolsa de pesquisa,pt,fellowship,Fellowship,format
residencia,pt,fellowship,Fellowship,format
programa de lideranca,pt,fellowship,Fellowship,format
competition,en,competition,Competition,format
contest,en,competition,Competition,format
challenge,en,competition,Competition,format
hackathon,en,competition,Competition,format
award,en,competition,Competition,format
prize,en,competition,Competition,format
pitch competition,en,competition,Competition,format
call for applications,en,competition,Competition,format
concours,fr,competition,Competition,format
competition,fr,competition,Competition,format
defi,fr,competition,Competition,format
hackathon,fr,competition,Competition,format
prix,fr,competition,Competition,format
appel a candidatures,fr,competition,Competition,format
competencia,es,competition,Competition,format
concurso,es,competition,Competition,format
desafio,es,competition,Competition,format
hackathon,es,competition,Competition,format
premio,es,competition,Competition,format
convocatoria,es,competition,Competition,format
competicao,pt,competition,Competition,format
concurso,pt,competition,Competition,format
desafio,pt,competition,Competition,format
hackathon,pt,competition,Competition,format
premio,pt,competition,Competition,format
chamada de inscricoes,pt,competition,Competition,format
mentorship,en,mentorship,Mentorship & Guidance,support
mentor,en,mentorship,Mentorship & Guidance,support
coaching,en,mentorship,Mentorship & Guidance,support
guidance,en,mentorship,Mentorship & Guidance,support
advisor,en,mentorship,Mentorship & Guidance,support
career advice,en,mentorship,Mentorship & Guidance,support
mentorat,fr,mentorship,Mentorship & Guidance,support
mentor,fr,mentorship,Mentorship & Guidance,support
coaching,fr,mentorship,Mentorship & Guidance,support
accompagnement,fr,mentorship,Mentorship & Guidance,support
conseiller,fr,mentorship,Mentorship & Guidance,support
orientation professionnelle,fr,mentorship,Mentorship & Guidance,support
mentoria,es,mentorship,Mentorship & Guidance,support
mentor,es,mentorship,Mentorship & Guidance,support
coaching,es,mentorship,Mentorship & Guidance,support
orientacion,es,mentorship,Mentorship & Guidance,support
asesor,es,mentorship,Mentorship & Guidance,support
orientacion profesional,es,mentorship,Mentorship & Guidance,support
mentoria,pt,mentorship,Mentorship & Guidance,support
mentor,pt,mentorship,Mentorship & Guidance,support
coaching,pt,mentorship,Mentorship & Guidance,support
orientacao,pt,mentorship,Mentorship & Guidance,support
conselheiro,pt,mentorship,Mentorship & Guidance,support
orientacao profissional,pt,mentorship,Mentorship & Guidance,support
skill,en,skill-development,Skill Development,support
skills,en,skill-development,Skill Development,support
upskill,en,skill-development,Skill Development,support
professional development,en,skill-development,Skill Development,support
capacity building,en,skill-development,Skill Development,support
leadership,en,skill-development,Skill Development,support
soft skills,en,skill-development,Skill Development,support
competence,fr,skill-development,Skill Development,support
competences,fr,skill-development,Skill Development,support
developpement professionnel,fr,skill-development,Skill Development,support
renforcement des capacites,fr,skill-development,Skill Development,support
leadership,fr,skill-development,Skill Development,support
competences douces,fr,skill-development,Skill Development,support
habilidad,es,skill-development,Skill Development,support
habilidades,es,skill-development,Skill Development,support
desarrollo profesional,es,skill-development,Skill Development,support
fortalecimiento de capacidades,es,skill-development,Skill Development,support
liderazgo,es,skill-development,Skill Development,support
habilidades blandas,es,skill-development,Skill Development,support
habilidade,pt,skill-development,Skill Development,support
habilidades,pt,skill-development,Skill Development,support
desenvolvimento profissional,pt,skill-development,Skill Development,support
capacitacao profissional,pt,skill-development,Skill Development,support
lideranca,pt,skill-development,Skill Development,support
habilidades interpessoais,pt,skill-development,Skill Development,support
youth,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
young people,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
women,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
girls,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
gender,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
inclusion,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
diversity,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
underrepresented,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
disability,en,youth-women-inclusion,"Youth, Women & Inclusion",audience
jeunesse,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
jeunes,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
femmes,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
filles,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
genre,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
inclusion,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
diversite,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
sous represente,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
handicap,fr,youth-women-inclusion,"Youth, Women & Inclusion",audience
juventud,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
jovenes,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
mujeres,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
ninas,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
genero,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
inclusion,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
diversidad,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
subrepresentado,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
discapacidad,es,youth-women-inclusion,"Youth, Women & Inclusion",audience
juventude,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
jovens,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
mulheres,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
meninas,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
genero,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
inclusao,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
diversidade,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
sub representado,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
deficiencia,pt,youth-women-inclusion,"Youth, Women & Inclusion",audience
